IDF,IDB,profilePhoto,fName,mName,lName,dateOfBirth,sex,nationality,city,subCity,wereda,kebele,houseNo,phone,email,otherPhone,position,employementType,shift,salary,startDate,agreement,bankName,bankAccount,TIN,religion,maritalStatus,ethnicGroup,bloodGroup,medicalReport,fingerPrintReport,suretyType,suretyAttachment,suretyFullName,suretyPhone,suretyCity,suretySubCity,suretyWereda,suretyKebele,suretyHouseNo
idf1.jpg,idb1.jpg,profilePhoto1.jpg,Test 001,Test1,test,8/28/1990,Male,American,New York,Manhattan,1,A,101,911657652,test1@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Full-time,Morning,50000,8/28/2010,securityagremment.pdf,Bank A,ACC123,TIN001,Muslim,single,,AB,test1medicalReport.pdf,test1fingerPrintReport.pdf,Property map,Propertymap1.jpg,Test 1 test test,913456677,sidama,hawasa,bali,bona,167
idf2.jpg,idb2.jpg,profilePhoto2.jpg,Test 002,Test2,test,8/29/1990,Female,British,London,Central,2,B,102,911657653,test2@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Part-time,Evening,30000,8/29/2010,securityagremment.pdf,,,,Muslim,single,,AB,test2medicalReport.pdf,test2fingerPrintReport.pdf,Property map,Propertymap2.jpg,Test 2 test test,913456678,sidama,hawasa,bali,bona,168
idf3.jpg,idb3.jpg,profilePhoto3.jpg,Test 003,Test3,test,8/30/1990,Male,Canadian,Toronto,Downtown,3,C,103,911657654,test3@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Full-time,Night,45000,8/30/2010,securityagremment.pdf,Bank C,ACC345,TIN003,Muslim,single,,O,test3medicalReport.pdf,test3fingerPrintReport.pdf,Property map,Propertymap3.jpg,Test 3 test test,913456679,sidama,hawasa,bali,bona,169
idf4.jpg,idb4.jpg,profilePhoto4.jpg,Test 004,Test4,test,8/31/1990,Female,Australian,Sydney,North,4,D,104,911657655,test4@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,35000,8/31/2010,securityagremment.pdf,Bank D,ACC456,TIN004,Muslim,single,,AB,test4medicalReport.pdf,test4fingerPrintReport.pdf,Property map,Propertymap4.jpg,Test 4 test test,913456680,addis abeba,bole,4,13,170
idf5.jpg,idb5.jpg,profilePhoto5.jpg,Test 005,Test5,test,9/1/1990,Female,Ethiopian,Addis Abeba,Yeka,5,D,105,911657656,test5@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4000,9/1/2010,securityagremment.pdf,,,,Muslim,single,,AB,test5medicalReport.pdf,test5fingerPrintReport.pdf,Property map,Propertymap5.jpg,Test 5 test test,913456681,addis abeba,bole,1,13,171
idf6.jpg,idb6.jpg,profilePhoto6.jpg,Test 006,Test6,test,9/2/1990,Female,Ethiopian,Addis Abeba,Yeka,6,D,106,911657657,test6@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4001,9/2/2010,securityagremment.pdf,,,,Ortodox,single,,AB,test6medicalReport.pdf,test6fingerPrintReport.pdf,money,invoice6.jpg,Test 6 test test,913456682,amahra,shewa,2,14,172
idf7.jpg,idb7.jpg,profilePhoto7.jpg,Test 007,Test7,test,9/3/1990,Female,Ethiopian,Addis Abeba,Yeka,7,D,107,911657658,test7@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4002,9/3/2010,securityagremment.pdf,,,,Ortodox,single,,B-,test7medicalReport.pdf,test7fingerPrintReport.pdf,letter,letter7.jpg,Test 7 test test,913456683,amahra,shewa,3,15,173
idf8.jpg,idb8.jpg,profilePhoto8.jpg,Test 008,Test8,test,9/4/1990,Female,Ethiopian,Addis Abeba,Yeka,8,D,108,911657659,test8@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4003,9/4/2010,securityagremment.pdf,,,,Ortodox,single,,B-,test8medicalReport.pdf,test8fingerPrintReport.pdf,letter,letter8.jpg,Test 8 test test,913456684,amahra,shewa,4,16,174
idf9.jpg,idb9.jpg,profilePhoto9.jpg,Test 009,Test9,test,9/5/1990,Female,Ethiopian,Addis Abeba,Yeka,9,D,109,911657660,test9@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4004,9/5/2010,securityagremment.pdf,,,,Ortodox,single,,NA,test9medicalReport.pdf,test9fingerPrintReport.pdf,letter,letter9.jpg,Test 9 test test,913456685,amahra,shewa,5,17,175
idf10.jpg,idb10.jpg,profilePhoto10.jpg,Test 010,Test10,test,9/6/1990,Female,Ethiopian,Addis Abeba,Yeka,10,D,110,911657661,test10@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4005,9/6/2010,securityagremment.pdf,,,,Ortodox,single,,B-,test10medicalReport.pdf,test10fingerPrintReport.pdf,letter,letter10.jpg,Test 10 test test,913456686,oromia,bale,6,18,176
idf11.jpg,idb11.jpg,profilePhoto11.jpg,Test 011,Test11,test,9/7/1990,Female,Ethiopian,Addis Abeba,Yeka,11,D,111,911657662,test11@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4006,9/7/2010,securityagremment.pdf,,,,Ortodox,single,,B-,test11medicalReport.pdf,test11fingerPrintReport.pdf,letter,letter11.jpg,Test 11 test test,913456687,oromia,bale,7,19,177
idf12.jpg,idb12.jpg,profilePhoto12.jpg,Test 012,Test12,test,9/8/1990,Female,Ethiopian,Addis Abeba,Yeka,12,D,112,911657663,test12@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4007,9/8/2010,securityagremment.pdf,,,,Ortodox,single,,A+,test12medicalReport.pdf,test12fingerPrintReport.pdf,letter,letter12.jpg,Test 12 test test,913456688,oromia,bale,8,20,178
idf13.jpg,idb13.jpg,profilePhoto13.jpg,Test 013,Test13,test,9/9/1990,Female,Ethiopian,Addis Abeba,Yeka,13,D,113,911657664,test13@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4008,9/9/2010,securityagremment.pdf,,,,Catolic,single,,A+,test13medicalReport.pdf,test13fingerPrintReport.pdf,letter,letter13.jpg,Test 13 test test,913456689,oromia,bale,9,21,179
idf14.jpg,idb14.jpg,profilePhoto14.jpg,Test 014,Test14,test,9/10/1990,Female,Ethiopian,Addis Abeba,Yeka,14,D,114,911657665,test14@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4009,9/10/2010,securityagremment.pdf,,,,Catolic,single,,A+,test14medicalReport.pdf,test14fingerPrintReport.pdf,letter,letter14.jpg,Test 14 test test,913456690,oromia,bale,10,22,180
idf15.jpg,idb15.jpg,profilePhoto15.jpg,Test 015,Test15,test,9/11/1990,Female,Ethiopian,Addis Abeba,Yeka,15,D,115,911657666,test15@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4010,9/11/2010,securityagremment.pdf,,,,Catolic,single,,A+,test15medicalReport.pdf,test15fingerPrintReport.pdf,letter,letter15.jpg,Test 15 test test,913456691,oromia,bale,11,23,181
idf16.jpg,idb16.jpg,profilePhoto16.jpg,Test 016,Test16,test,9/12/1990,Female,Ethiopian,Addis Abeba,Yeka,16,D,116,911657667,test16@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4011,9/12/2010,securityagremment.pdf,,,,Catolic,single,,A+,test16medicalReport.pdf,test16fingerPrintReport.pdf,letter,letter16.jpg,Test 16 test test,913456692,oromia,bale,12,24,182
idf17.jpg,idb17.jpg,profilePhoto17.jpg,Test 017,Test17,test,9/13/1990,Female,Ethiopian,Addis Abeba,Yeka,17,D,117,911657668,test17@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4012,9/13/2010,securityagremment.pdf,,,,Catolic,married,,B+,test17medicalReport.pdf,test17fingerPrintReport.pdf,letter,letter17.jpg,Test 17 test test,913456693,oromia,bale,13,25,183
idf18.jpg,idb18.jpg,profilePhoto18.jpg,Test 018,Test18,test,9/14/1990,Female,Ethiopian,Addis Abeba,Yeka,18,D,118,911657669,test18@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4013,9/14/2010,securityagremment.pdf,,,,Catolic,married,,B+,test18medicalReport.pdf,test18fingerPrintReport.pdf,letter,letter18.jpg,Test 18 test test,913456694,oromia,bale,14,26,184
idf19.jpg,idb19.jpg,profilePhoto19.jpg,Test 019,Test19,test,9/15/1990,Female,Ethiopian,Addis Abeba,Yeka,19,D,119,911657670,test19@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4014,9/15/2010,securityagremment.pdf,,,,Catolic,married,,B+,test19medicalReport.pdf,test19fingerPrintReport.pdf,letter,letter19.jpg,Test 19 test test,913456695,oromia,bale,15,27,185
idf20.jpg,idb20.jpg,profilePhoto20.jpg,Test 020,Test20,test,9/16/1990,Male,Ethiopian,Addis Abeba,Yeka,20,D,120,911657671,test20@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4015,9/16/2010,securityagremment.pdf,,,,NA,married,,B+,test20medicalReport.pdf,test20fingerPrintReport.pdf,letter,letter20.jpg,Test 20 test test,913456696,oromia,bale,16,28,186
idf21.jpg,idb21.jpg,profilePhoto21.jpg,Test 021,Test21,test,9/17/1990,Male,Ethiopian,Addis Abeba,Yeka,21,D,121,911657672,test21@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4016,9/17/2010,securityagremment.pdf,,,,NA,married,,A+,test21medicalReport.pdf,test21fingerPrintReport.pdf,letter,letter21.jpg,Test 21 test test,913456697,oromia,bale,17,29,187
idf22.jpg,idb22.jpg,profilePhoto22.jpg,Test 022,Test22,test,9/18/1990,Male,Ethiopian,Addis Abeba,Yeka,22,D,122,911657673,test22@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4017,9/18/2010,securityagremment.pdf,,,,NA,married,,A+,test22medicalReport.pdf,test22fingerPrintReport.pdf,letter,letter22.jpg,Test 22 test test,913456698,oromia,bale,18,30,188
idf23.jpg,idb23.jpg,profilePhoto23.jpg,Test 023,Test23,test,9/19/1990,Male,Ethiopian,Addis Abeba,Yeka,23,D,123,911657674,test23@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4018,9/19/2010,securityagremment.pdf,,,,NA,married,,AB,test23medicalReport.pdf,test23fingerPrintReport.pdf,letter,letter23.jpg,Test 23 test test,913456699,oromia,bale,19,31,189
idf24.jpg,idb24.jpg,profilePhoto24.jpg,Test 024,Test24,test,9/20/1990,Male,Ethiopian,Addis Abeba,Yeka,24,D,124,911657675,test24@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4019,9/20/2010,securityagremment.pdf,,,,NA,married,,AB,test24medicalReport.pdf,test24fingerPrintReport.pdf,letter,letter24.jpg,Test 24 test test,913456700,oromia,bale,20,32,190
idf25.jpg,idb25.jpg,profilePhoto25.jpg,Test 025,Test25,test,9/21/1990,Male,Ethiopian,Addis Abeba,Yeka,25,D,125,911657676,test25@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4020,9/21/2010,securityagremment.pdf,,,,NA,married,,O-,test25medicalReport.pdf,test25fingerPrintReport.pdf,letter,letter25.jpg,Test 25 test test,913456701,oromia,bale,21,33,191
idf26.jpg,idb26.jpg,profilePhoto26.jpg,Test 026,Test26,test,9/22/1990,Male,Ethiopian,Addis Abeba,Yeka,26,D,126,911657677,test26@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4021,9/22/2010,securityagremment.pdf,,,,NA,married,,O-,test26medicalReport.pdf,test26fingerPrintReport.pdf,letter,letter26.jpg,Test 26 test test,913456702,oromia,bale,22,34,192
idf27.jpg,idb27.jpg,profilePhoto27.jpg,Test 027,Test27,test,9/23/1990,Male,Ethiopian,Addis Abeba,Yeka,27,D,127,911657678,test27@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4022,9/23/2010,securityagremment.pdf,,,,NA,married,,O-,test27medicalReport.pdf,test27fingerPrintReport.pdf,letter,letter27.jpg,Test 27 test test,913456703,oromia,bale,23,35,193
idf28.jpg,idb28.jpg,profilePhoto28.jpg,Test 028,Test28,test,9/24/1990,Male,Ethiopian,Addis Abeba,Yeka,28,D,128,911657679,test28@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4023,9/24/2010,securityagremment.pdf,,,,NA,married,,O-,test28medicalReport.pdf,test28fingerPrintReport.pdf,letter,letter28.jpg,Test 28 test test,913456704,oromia,bale,24,36,194
idf29.jpg,idb29.jpg,profilePhoto29.jpg,Test 029,Test29,test,9/25/1990,Male,Ethiopian,Addis Abeba,Yeka,29,D,129,911657680,test29@example.com,,b99bf6af-c6b0-466f-a699-a2d9e3fcc301,Permanenet,Morning,4024,9/25/2010,securityagremment.pdf,,,,NA,married,,AB,test29medicalReport.pdf,test29fingerPrintReport.pdf,letter,letter29.jpg,Test 29 test test,913456705,oromia,bale,25,37,195
